Authors,DOI,DataSourceType,FeatureName,UniqueID,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolutionMeters,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiationIndex
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Chevak,980,61.52789533,-165.6177932,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,239,20.117188,18.90939217,1.207795333,1,0.784619
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Emmonak,981,62.78480524,-164.5261888,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,141,12.078125,11.88215309,0.195971908,1,0.784257658
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Kotlik,982,63.02130171,-163.5606952,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,302,11.2578125,10.911639,0.346173498,1,0.759838822
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Tanada Muskeg,983,62.51659609,-143.3660032,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,318,954.09375,954.8037847,-0.710034748,4,0.730455985
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Mentasta Fen,984,62.54999164,-143.3667023,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,238,998.91406,1001.817875,-2.903812987,4,0.765288505
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Farmers Loop,985,65.46659208,-148.1167159,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,190,449.6875,443.3780861,6.309413901,11,0.805205887
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Pearl Creek,986,64.89999757,-147.7999982,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,228,346.1328,346.1483174,-0.015504917,4,0.746399737
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Niguanak,987,69.88329987,-142.983283,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,158,86.58594,86.49545454,0.090482958,1,0.700736321
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Ikpikpuk,988,70.43300708,-154.365993,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,296,7.03125,7.11275822,-0.08150822,0,0.682087616
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,East Teshekpuk,989,70.56599465,-152.9659918,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,186,-0.234375,-0.373389283,0.139014283,1,0.688594675
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Piksiksak,990,70.03299142,-157.0833027,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,311,59.21875,59.15685431,0.061895688,0,0.687176382
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Red Sheep Creek,991,68.68330239,-144.8329779,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,28,781.78125,782.1663381,-0.385088148,3,0.691328208
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Awuna 2,992,69.1499993,-158.0329961,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,226,332.9922,332.9872126,0.004974949,3,0.697673386
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Camden Bay,993,69.96601155,-144.7659781,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,255,8.859375,7.824278241,1.035096759,3,0.668971674
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,South Meade,994,70.63299825,-156.8332924,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,312,1.8046875,1.78131861,0.02336889,1,0.666663387
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Marsh Creek,995,69.78330405,-144.8000206,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,314,240.11719,239.9833753,0.13381225,3,0.651561838
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Koluktak,996,69.75000199,-154.6166869,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,172,53.5,53.97911757,-0.47911757,3,0.720626177
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Tunalik,997,70.19999474,-160.0666173,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,279,40.171875,39.80872587,0.363149131,1,0.674867662
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Umiat,998,69.3999936,-152.149983,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,198,211.39844,211.1830628,0.215374685,2,0.706715496
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Awuna,999,69.16660767,-158.0165878,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,161,354.3125,354.2539415,0.058558548,2,0.720399899
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Fish Creek,1000,70.33329616,-152.0500056,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,132,27.34375,27.36735562,-0.023605623,1,0.695957187
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Inigok,1001,70.00000707,-153.0999916,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,243,46.585938,46.80362471,-0.217687209,1,0.683894944
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Drew Point,1002,70.86659248,-153.9166084,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,85,2.375,2.399015616,-0.024015616,0,0.676534255
