Authors,DOI,DataSourceType,FeatureName,FeatureType,FeatureCategory,Imagery,ImageryDate,ImageryResolutionMeters,Latitude,Longitude,ThawType,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiation,Geo
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,NE14 tk1,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.677901,-149.623493,Abrupt,301,707.27344,710.4198344,-3.146396887,9,0.588471089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.62351899296695,68.67790300750997]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,NE14 tk2,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.678454,-149.62639,Abrupt,207,706.3125,710.1887188,-3.876218768,14,0.74063748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.6264025358132,68.67845954088146]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,NE14 tk3,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.678195,-149.628724,Abrupt,159,706.21094,708.3502342,-2.139296657,12,0.825181438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.62875132193696,68.67819954002236]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Q lake,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.08844,-158.0413,Abrupt,29,361.72656,364.3228572,-2.596294678,9,0.669578578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.0412900789654,68.08843748314689]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tea bag,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.01936,-159.2421,Abrupt,234,322.96094,323.3084986,-0.347561085,1,0.710575835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.2421164636956,68.01935545881675]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 1,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.525019,-149.543817,Abrupt,46,879.5625,879.9926609,-0.4301609,5,0.702809812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.54384211000163,68.52502224188868]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 1 wt,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.523239,-149.532094,Abrupt,187,883.9453,884.3567102,-0.411397707,3,0.728694634,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.5321172519282,68.52324190510855]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 2,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.525644,-149.544049,Abrupt,100,878.7031,880.8457842,-2.142659184,5,0.752963844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.54403446700826,68.5256492499006]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 3,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.526061,-149.54319,Abrupt,113,877.8047,879.2338021,-1.429114594,6,0.770049961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.54317029393624,68.52606326208966]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 4,Retrogressive thaw slump,Retrogressive thaw slump,,,,68.525019,-149.539186,Abrupt,268,880.21875,880.2725984,-0.053848358,6,0.653159532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.53921145429499,68.52501989205277]}"
